165,49,57,2017/5/5 17:24,2017/5/5 19:14,88,0,0,0
183,57,49,2017/5/5 20:37,2017/5/5 22:22,88,0,0,0
1060,49,16,2017/5/5 23:16,2017/5/6 2:41,88,0,0,0
1071,16,49,2017/5/6 2:24,2017/5/6 5:44,88,0,0,0
1275,49,68,2017/5/6 10:41,2017/5/6 12:51,88,0,0,0
1711,68,52,2017/5/6 14:52,2017/5/6 17:17,88,0,0,0
635,52,25,2017/5/6 22:47,2017/5/7 1:07,88,0,0,0
681,25,52,2017/5/7 0:57,2017/5/7 3:07,88,0,0,0
1880,52,31,2017/5/7 15:26,2017/5/7 17:36,88,0,0,0
1899,31,52,2017/5/7 13:09,2017/5/7 15:19,88,0,0,0
2350,52,35,2017/5/8 1:55,2017/5/8 4:05,88,0,0,0
2351,35,52,2017/5/8 5:03,2017/5/8 7:03,88,0,0,0
2146,52,38,2017/5/8 7:20,2017/5/8 8:55,88,0,0,0
2126,38,43,2017/5/8 10:00,2017/5/8 12:05,88,0,0,0
2136,43,38,2017/5/8 20:57,2017/5/8 23:02,88,0,0,0
2153,38,52,2017/5/8 17:59,2017/5/8 19:14,88,0,0,0
2138,52,30,2017/5/9 2:01,2017/5/9 4:11,88,0,0,0
2132,30,52,2017/5/9 2:09,2017/5/9 4:14,88,0,0,0
740,50,25,2017/5/5 16:30,2017/5/5 19:20,89,0,0,0
751,25,50,2017/5/5 22:50,2017/5/6 1:40,89,0,0,0
1107,50,36,2017/5/5 21:14,2017/5/5 22:39,89,0,0,0
1872,36,27,2017/5/5 23:59,2017/5/6 3:04,89,0,0,0
1321,27,49,2017/5/6 10:44,2017/5/6 13:34,89,0,0,0
1329,49,15,2017/5/6 23:00,2017/5/7 0:20,89,0,0,0
1380,15,52,2017/5/6 16:54,2017/5/6 19:04,89,0,0,0
1391,52,78,2017/5/7 2:21,2017/5/7 4:26,89,0,0,0
1318,78,52,2017/5/7 18:39,2017/5/7 20:49,89,0,0,0
1365,52,15,2017/5/7 13:08,2017/5/7 15:23,89,0,0,0
1343,15,49,2017/5/7 22:14,2017/5/7 23:34,89,0,0,0
1308,49,27,2017/5/8 5:18,2017/5/8 8:13,89,0,0,0
2080,27,38,2017/5/8 9:03,2017/5/8 11:03,89,0,0,0
